SPI_eepromDrvData.drvSPIRXbuffer[0], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[35], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[36], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[37], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[38], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[39], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[40], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[41], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[42], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[43], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[44], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[45], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[46], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[47], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[48], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[49], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[50], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[51], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[52], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[53], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[54], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[55], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[56], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[57], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[58], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[59], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[60], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[61], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[62], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[63], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[64], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[65], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[66], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[67], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[68], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[69], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[70], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[71], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[72], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[73], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[74], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[75], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[76], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[77], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[78], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[79], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[80], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[81], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[82], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[83], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[84], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[85], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[86], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[87], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[88], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[89], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[90], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[91], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[92], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[93], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[94], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[95], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[96], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[97], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[98], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[99], 0x00,
