SPI_eepromDrvData.drvSPITXbuffer[0], 0x02,
SPI_eepromDrvData.drvSPITXbuffer[34], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[35], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[36], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[37], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[38], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[39], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[40], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[41], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[42], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[43], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[44], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[45], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[46], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[47], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[48], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[49], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[50], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[51], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[52], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[53], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[54], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[55], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[56], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[57], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[58], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[59], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[60], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[61], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[62], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[63], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[64], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[65], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[66], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[67], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[68], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[69], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[70], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[71], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[72], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[73], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[74], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[75], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[76], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[77], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[78], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[79], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[80], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[81], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[82], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[83], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[84], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[85], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[86], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[87], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[88], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[89], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[90], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[91], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[92], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[93], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[94], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[95], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[96], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[97], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[98], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[99], 0x00,
